Movie,Year,Pass/Fail,Ranking,Categorisation
Accepted,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Accident,1967,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Accidents Happen,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
According to Greta,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Accordion Player,1888,Fail,5,Fewer than two women in this movie
Ace In The Hole,1951,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Ace Ventura: Pet Detective,1994,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Ace Ventura: When Nature Calls,1995,Fail,5,Fewer than two women in this movie
Across the Universe,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Act of Valor,2012,Fail,5,Fewer than two women in this movie
Act of Violence,1948,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Action Jackson,1988,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Actrius,1997,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ad Astra,2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
Adam,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Adam & Steve,2005,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Adam's Apples,2005,Fail,5,Fewer than two women in this movie
Adam's Rib,1949,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adaptation,2002,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
Addams Family Values,1993,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Admission,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adult Life Skills,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adult World,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adulthood,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
Advantageous,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adventureland,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adventures in Babysitting,1987,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Adventures in Babysitting,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Advise & Consent,1962,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
Ae Fond Kiss...,2004,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
After,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
After Earth,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
After Hours,1985,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
After Sex,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
After the Ball,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
After the Sunset,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
After the Wedding,2006,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
After the Wedding,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
After.Life,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
AfterDeath,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
